PRODUCT_ID,ORDER_ID,CUSTOMER_ID,REVIEW_SCORE,REVIEW_TEXT,REVIEW_ID,DATA_SOURCE,BATCH_ID,LOADED_AT
573,1,1,5,Review for product 573,,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
958,1045001045,1000515,2,"Decent Allen, Stephens and Burgess Past. Long battery life, but Unappealing design.",1003075.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
869,2039002039,1000997,2,Not worth the price. Poor build quality.,1006137.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
47,2042002042,1000999,1,Disappointed with this Fisher PLC Boy. Underperforms.,1006146.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
845,2041002041,1000999,4,Really happy with this purchase. Easy to use and Great customer service.,1006145.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
767,2041002041,1000999,2,Had issues with Short battery life.,1006144.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
848,2040002040,1000998,2,Disappointed with this Spencer-Fuentes Use. Slow delivery.,1006143.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
296,2040002040,1000998,2,Disappointed with this Barnes Ltd Art. Slow delivery.,1006142.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
82,2040002040,1000998,2,Poor quality Simon-Mathews Cut. Overpriced.,1006141.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
162,2040002040,1000998,2,Not worth the price. Doesn't fit well.,1006140.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
396,2040002040,1000998,3,Not worth the price. Overpriced.,1006139.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
678,2039002039,1000997,5,Really happy with this purchase. Fast shipping and Incredible value.,1006138.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
207,2039002039,1000997,2,"Best Guzman, White and Young Share I've bought. Excellent build quality.",1006136.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
786,2036002036,1000995,2,"Disappointed with this Rivas, Yates and Nguyen Century. Slow delivery.",1006126.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
621,2038002038,1000997,2,Average Gutierrez PLC Money. Average performance.,1006135.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
987,2038002038,1000997,5,"Decent Jordan-Mccarty Agency. Incredible value, but Missing features.",1006134.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
946,2038002038,1000997,1,Disappointed with this Ortiz-Bartlett Particularly. Poor build quality.,1006133.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
577,2038002038,1000997,1,Great Hinton-Hill Employee! Perfect fit. Highly recommend!,1006132.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
620,2037002037,1000995,3,Good enough for the price. Standard quality.,1006131.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
461,2037002037,1000995,5,Poor quality Buchanan Inc Leg. Missing features.,1006130.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
875,2037002037,1000995,4,Great Diaz LLC School! Fast shipping. Highly recommend!,1006129.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
740,2036002036,1000995,5,Good enough for the price. Meets basic expectations.,1006128.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
416,2036002036,1000995,3,Poor quality Foster-Beard Top. Doesn't fit well.,1006127.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
219,2027002027,1000991,3,Great Robinson PLC Trade! Great customer service. Highly recommend!,1006101.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
758,2035002035,1000994,2,"Perfect fit, however Unappealing design.",1006125.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
108,2035002035,1000994,2,Wouldn't recommend. Underperforms.,1006123.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
694,2031002031,1000993,1,Great Bell-Bishop Couple! Superior performance. Highly recommend!,1006114.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
897,2031002031,1000993,4,Excellent quality Figueroa LLC Major. Incredible value.,1006113.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
298,2034002034,1000994,4,Wouldn't recommend. Unappealing design.,1006122.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
439,2034002034,1000994,3,Disappointed with this Price-Myers Food. Unresponsive customer service.,1006121.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
347,2033002033,1000994,1,Really happy with this purchase. Perfect fit and Incredible value.,1006120.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
826,2033002033,1000994,2,Really happy with this purchase. Long battery life and Amazing features.,1006119.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
721,2032002032,1000993,5,Great Sanchez Inc Team! Long battery life. Highly recommend!,1006118.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
498,2032002032,1000993,1,Great Woods Ltd Painting! Excellent build quality. Highly recommend!,1006117.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
54,2031002031,1000993,3,Disappointed with this Coleman Group Size. Missing features.,1006116.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
340,2031002031,1000993,3,Really happy with this purchase. Excellent build quality and Amazing features.,1006115.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
985,2030002030,1000993,4,Had issues with Slow delivery.,1006112.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
26,2027002027,1000991,4,Not worth the price. Underperforms.,1006103.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
458,2035002035,1000994,3,Great Flores-Weaver Land! Amazing features. Highly recommend!,1006124.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
115,2029002029,1000992,2,"Best Weber, Griffin and Moreno Great I've bought. Beautiful design.",1006111.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
744,2029002029,1000992,4,Wouldn't recommend. Short battery life.,1006110.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
896,2029002029,1000992,3,Not worth the price. Short battery life.,1006109.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
355,2028002028,1000992,5,Wouldn't recommend. Complicated to use.,1006108.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
245,2028002028,1000992,2,Had issues with Poor build quality.,1006107.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
958,2028002028,1000992,1,"Disappointed with this Allen, Stephens and Burgess Past. Poor build quality.",1006106.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
473,2028002028,1000992,2,"Superior performance, however Complicated to use.",1006105.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
980,2027002027,1000991,1,"Best Merritt, Landry and Holmes Stock I've bought. Incredible value.",1006104.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
852,2027002027,1000991,1,Wouldn't recommend. Overpriced.,1006102.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
916,2026002026,1000991,4,Had issues with Short battery life.,1006100.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
760,2009002009,1000983,3,Not worth the price. Doesn't fit well.,1006054.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
120,2021002021,1000989,3,Poor quality Phillips Group How. Doesn't fit well.,1006088.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
602,2025002025,1000991,5,Poor quality Anderson-Stephens Money. Doesn't fit well.,1006098.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
938,2025002025,1000991,2,Incredible value. Worth every penny!,1006097.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
532,2025002025,1000991,1,Best Torres-Tran Condition I've bought. Great customer service.,1006096.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
293,2024002024,1000991,4,Excellent quality Brown-Daniels Save. Superior performance.,1006095.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
229,2024002024,1000991,1,Not worth the price. Missing features.,1006094.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
92,2024002024,1000991,2,"Incredible value, however Short battery life.",1006093.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
227,2023002023,1000990,3,Not worth the price. Unresponsive customer service.,1006092.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
461,2022002022,1000989,2,Had issues with Unappealing design.,1006091.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
903,2022002022,1000989,4,Really happy with this purchase. Beautiful design and Excellent build quality.,1006090.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
356,2018002018,1000987,4,Not worth the price. Underperforms.,1006078.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
133,2026002026,1000991,5,Superior performance. Worth every penny!,1006099.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
770,2021002021,1000989,5,Really happy with this purchase. Fast shipping and Incredible value.,1006087.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
290,2021002021,1000989,3,Wouldn't recommend. Overpriced.,1006086.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
392,2020002020,1000987,1,"Decent Espinoza PLC Wife. Perfect fit, but Poor build quality.",1006085.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
961,2019002019,1000987,4,"Poor quality Cooper, Sanchez and Gordon Side. Unappealing design.",1006084.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
315,2019002019,1000987,2,"Best Miller, Banks and Marsh Act I've bought. Perfect fit.",1006083.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
236,2019002019,1000987,4,"Best Ramsey, Wood and Cooper Three I've bought. Perfect fit.",1006082.0,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
