subcategory_id,category_id,subcategory_name,market_share,growth_rate,created_at
101,1,Smartphones,0.11394267984578837,0.12150064531336002,2023-01-01
102,1,Laptops,0.07750293183691193,0.13339264428892936,2023-01-01
103,1,Accessories,0.12364712141640123,0.16060196924537465,2023-01-01
104,1,Tablets,0.13921795677048454,0.12521632995776497,2023-01-01
105,1,Wearables,0.09219218196852705,0.12178783316628422,2023-01-01
201,2,Men's Clothing,0.07186379748036034,0.1202570538289614,2023-01-01
202,2,Women's Clothing,0.05265359696838637,0.10554420723295913,2023-01-01
203,2,Children's Clothing,0.11498844377795232,0.1221571910689544,2023-01-01
204,2,Shoes,0.07204406220406967,0.12428475282604362,2023-01-01
205,2,Accessories,0.13094304566778264,0.09631194046454693,2023-01-01
301,3,Furniture,0.13058192518328077,0.10792557579952909,2023-01-01
302,3,Kitchen,0.08402505165179919,0.08621917999247126,2023-01-01
303,3,Decor,0.1457213072206781,0.09346378180450508,2023-01-01
304,3,Bedding,0.059274584338014795,0.08386865507333857,2023-01-01
305,3,Storage,0.13474943663474598,0.10414904125467564,2023-01-01
401,4,Skincare,0.130712827327438,0.1528649800548538,2023-01-01
402,4,Makeup,0.10362280914547006,0.16649448278284476,2023-01-01
403,4,Haircare,0.08785343772083534,0.14291427535130072,2023-01-01
404,4,Fragrances,0.1329404664252995,0.1466371061323978,2023-01-01
405,4,Tools,0.13617069003107773,0.1443317201343787,2023-01-01
501,5,Exercise Equipment,0.12045718362149234,0.07364967781160384,2023-01-01
502,5,Sportswear,0.07278982756515469,0.08241796668967585,2023-01-01
503,5,Outdoor Gear,0.057979197692362754,0.08038047190899708,2023-01-01
504,5,Accessories,0.06010014294097291,0.08200704971196332,2023-01-01
505,5,Footwear,0.11356844442644001,0.08513395844292303,2023-01-01
